STD,Type
-18.34,Consensus
-18.31,Consensus
-17.98,Consensus
-16.75,Consensus
-16.38,Consensus
-15.32,Consensus
-14.79,Consensus
-14.59,Consensus
-14.43,Consensus
-13.85,Consensus
-12.49,Consensus
-12.46,Consensus
-12.28,Consensus
-12.18,Consensus
-10.54,Consensus
-9.81,Consensus
-7.95,Consensus
-7.76,Consensus
-7.39,Consensus
-7.27,Consensus
-7.21,Consensus
-7.04,Consensus
-6.53,Consensus
-5.97,Consensus
-5.89,Consensus
-5.78,Consensus
-4.76,Consensus
-4.72,Consensus
-4.54,Consensus
-4.41,Consensus
-4.37,Consensus
-4.35,Consensus
-4.30,Consensus
-4.09,Consensus
-3.50,Consensus
-3.03,Consensus
-2.80,Consensus
-2.47,Consensus
-2.47,Consensus
-2.26,Consensus
-2.23,Consensus
-2.18,Consensus
-2.15,Consensus
-1.63,Consensus
-1.41,Consensus
-1.27,Consensus
-1.26,Consensus
-1.12,Consensus
-1.06,Consensus
-0.86,Consensus
-0.69,Consensus
-0.48,Consensus
-0.13,Consensus
-0.08,Consensus
0.37,Consensus
0.84,Consensus
1.86,Consensus
1.88,Consensus
2.55,Consensus
3.49,Consensus
4.01,Consensus
4.26,Consensus
5.21,Consensus
5.88,Consensus
6.19,Consensus
6.26,Consensus
6.41,Consensus
7.33,Consensus
7.76,Consensus
7.95,Consensus
8.77,Consensus
9.77,Consensus
10.84,Consensus
11.56,Consensus
11.75,Consensus
12.10,Consensus
12.21,Consensus
14.22,Consensus
14.84,Consensus
17.80,Consensus
18.93,Consensus
19.18,Consensus
21.70,Consensus
22.46,Consensus
22.99,Consensus
26.72,Consensus
28.02,Consensus
31.25,Consensus
35.95,Consensus
40.66,Consensus
101.04,Consensus
308.29,Consensus
327.00,Consensus
-99.91,SmartEsimate
-86.88,SmartEsimate
-74.89,SmartEsimate
-49.13,SmartEsimate
-46.33,SmartEsimate
-42.39,SmartEsimate
-41.12,SmartEsimate
-40.57,SmartEsimate
-38.68,SmartEsimate
-35.71,SmartEsimate
-33.56,SmartEsimate
