OP Growth,Return,Year
-16.02,8.1,2012
71.86,8.09,2013
16.9,8.02,2005
0.75,7.89,2003
1627.75,7.87,2019
-21.2,7.87,2013
26.1,7.85,2019
1232.57,7.8,2014
27.24,7.75,2006
15.84,7.72,2014
10.2,7.72,2006
6.74,7.67,2013
-62.31,7.67,2006
49.55,7.66,2012
-53.07,7.58,2013
314.07,7.53,2006
-4.38,7.46,2008
0.06,7.45,2006
517.18,7.3,2006
5.4,7.3,2006
-3.14,7.28,2012
6.4,7.18,2006
-271.13,7.16,2013
-9.58,7.13,2013
32.38,7.07,2013
-9.21,7.07,2005
-49.75,6.93,2006
-41.96,6.92,2013
-8.87,6.9,2003
-16.46,6.9,2006
250.79,6.88,2014
30.15,6.68,2013
12.8,6.67,2012
-63.64,6.54,2003
-21.74,6.43,2011
35.32,6.34,2006
-87.71,6.31,2003
86.86,6.29,2014
-37.73,6.2,2013
134.59,6.11,2019
9.13,6.07,2013
359.44,6.05,2008
-12.45,5.99,2006
-400.44,5.97,2006
395.66,5.94,2011
512.04,5.84,2006
69.08,5.75,2019
-8.78,5.71,2003
131.83,5.69,2006
0.51,5.63,2006
20.08,5.58,2019
40.84,5.56,2006
-12.55,5.56,2006
30.58,5.5,2006
-31.54,5.44,2014
-21.24,5.43,2013
-33.98,5.42,2019
-24.3,5.37,2005
120.02,5.34,2013
94.95,5.29,2012
18.77,5.26,2012
54.27,5.2,2019
54.65,5.13,2005
147.13,5.08,2003
-37.15,5.04,2011
-126.83,4.86,2012
18.76,4.76,2006
66.69,4.67,2011
16.41,4.58,2011
12.96,4.58,2014
21.37,4.57,2008
-113.01,4.52,2012
-9.04,4.5,2008
-22.75,4.5,2012
2.9,4.44,2006
767.53,4.33,2013
12.99,4.29,2013
-13.84,4.14,2012
168.79,4.04,2013
-53.19,4.01,2012
24.37,4,2011
-464.76,4,2019
-36.47,3.98,2006
18.35,3.94,2006
40.09,3.92,2006
486.58,3.9,2013
-3.55,3.86,2011
-1.01,3.72,2011
-78.79,3.71,2003
13.61,3.68,2012
-3.03,3.46,2008
-7.4,3.41,2005
13.26,3.39,2011
-2.27,3.32,2012
-17.72,3.27,2005
12.17,3.26,2006
-21.22,3.2,2003
-3.21,3.17,2012
-7.63,3.17,2014
70.61,3.15,2006
-76.69,3.1,2005
13.23,2.94,2006
18.47,2.86,2008
-11.11,2.75,2011
-21.45,2.72,2012
185.17,2.65,2011
17.16,2.64,2011
142.83,2.6,2012
-10.24,2.59,2006
-3.37,2.58,2012
-5.39,2.55,2006
54.24,2.47,2019
-61.81,2.47,2013
111.07,2.44,2011
1.26,2.32,2011
-30.15,2.19,2005
11.05,2.15,2014
42.72,2.09,2006
-120.22,1.98,2013
-49.12,1.97,2005
3.23,1.79,2006
-22.77,1.79,2011
-4.96,1.76,2012
44.33,1.66,2019
44,1.63,2006
64.31,1.57,2008
-32.36,1.5,2003
148.72,1.33,2006
36.02,1.3,2013
33.98,1.27,2003
28.57,1.21,2014
2448.65,1.14,2014
-17.91,0.96,2003
26.22,0.91,2008
-15.79,0.9,2013
57.51,0.88,2013
-20.66,0.81,2006
47.51,0.77,2019
4.24,0.66,2013
-16.06,0.6,2014
-48.1,0.54,2019
-6.35,0.45,2003
16.6,0.43,2008
12.95,0.41,2006
219.33,0.33,2014
0.02,0.33,2006
214.73,0.28,2019
11.46,0.22,2005
0.21,0.22,2019
157.34,0,2012
89.8,0,2008
42.18,0,2011
27.23,0,2019
-10.57,0,2006
587.47,-0.17,2008
52.79,-0.2,2005
-2.06,-0.2,2019
-38.04,-0.44,2003
65.53,-0.57,2013
-20.82,-0.57,2012
-96.72,-0.61,2005
192.61,-0.65,2011
6.49,-0.74,2012
15.5,-0.75,2008
-17.88,-0.84,2012
-22.73,-0.88,2006
90.25,-0.93,2019
7.51,-0.99,2019
1.6,-1.02,2006
7.2,-1.03,2006
