Class,Return,Leverage
Equity,59.3 ,
Alternatives,59.2 ,Short
Commodities,59.2 ,
Equity,59.2 ,
Equity,59.2 ,
Equity,59.1 ,
Equity,59.1 ,
Commodities,59.0 ,
Equity,59.0 ,
Equity,59.0 ,
Equity,58.9 ,
Equity,58.9 ,
Equity,58.9 ,
Equity,58.8 ,
Commodities,58.7 ,
Equity,58.7 ,
Equity,58.7 ,
Equity,58.7 ,
Equity,58.7 ,
Equity,58.7 ,
Commodities,58.6 ,
Equity,58.6 ,
Equity,58.6 ,
Equity,58.6 ,
Equity,58.6 ,
Equity,58.6 ,
Equity,58.6 ,
Equity,58.4 ,
Equity,58.3 ,
Equity,58.3 ,
Equity,58.2 ,
Equity,58.2 ,
Equity,58.2 ,
Equity,58.2 ,
Fixed Income,58.2 ,
Alternatives,58.1 ,
Equity,58.1 ,
Equity,58.1 ,
Alternatives,58.0 ,Short
Equity,58.0 ,
Equity,58.0 ,
Equity,58.0 ,
Equity,58.0 ,
Equity,57.9 ,
Equity,57.9 ,
Equity,57.9 ,
Equity,57.9 ,
Equity,57.9 ,
Equity,57.8 ,
Equity,57.8 ,
Equity,57.8 ,
Equity,57.8 ,
Equity,57.8 ,
Equity,57.7 ,Long
Equity,57.7 ,
Equity,57.7 ,
Equity,57.7 ,
Equity,57.7 ,
Equity,57.6 ,
Equity,57.5 ,
Equity,57.5 ,
Equity,57.4 ,
Equity,57.4 ,
Equity,57.4 ,
Equity,57.3 ,
Equity,57.3 ,
Equity,57.2 ,
Equity,57.2 ,
Equity,57.2 ,
Equity,57.1 ,
Equity,57.1 ,
Equity,57.0 ,Short
Equity,57.0 ,
Equity,57.0 ,
Equity,56.9 ,
Equity,56.9 ,
Equity,56.9 ,
Equity,56.9 ,
Equity,56.9 ,
Equity,56.8 ,
Equity,56.8 ,
Equity,56.8 ,
Equity,56.8 ,
Equity,56.8 ,
Equity,56.8 ,
Equity,56.8 ,
Equity,56.7 ,
Equity,56.6 ,
Commodities,56.5 ,
Equity,56.5 ,
Equity,56.5 ,
Equity,56.5 ,
Equity,56.4 ,Long
Equity,56.4 ,
Equity,56.4 ,
Commodities,56.3 ,
Equity,56.3 ,
Equity,56.3 ,
Fixed Income,56.3 ,
Equity,56.2 ,
Commodities,56.1 ,
Commodities,56.1 ,
Equity,56.0 ,
Equity,56.0 ,
Equity,56.0 ,
Equity,55.9 ,
Equity,55.9 ,
Equity,55.8 ,Short
Equity,55.8 ,
Equity,55.8 ,
Equity,55.8 ,
Equity,55.7 ,
Equity,55.7 ,
Equity,55.7 ,
Equity,55.7 ,
Equity,55.7 ,
Equity,55.7 ,
Equity,55.7 ,
Commodities,55.6 ,
Equity,55.6 ,
Equity,55.6 ,
Equity,55.6 ,
Alternatives,55.5 ,Short
Commodities,55.4 ,
Commodities,55.4 ,
Equity,55.4 ,
