Date,MKF500,Value,Growth,KOSPI200
2006-07-14,222.29,641.27,194.94,221.91
2006-07-21,225.13,645.61,197.28,225.56
2006-07-28,229.90,656.55,202.23,230.40
2006-08-04,231.18,653.45,203.12,231.96
2006-08-11,228.85,653.13,199.83,229.19
2006-08-18,235.60,663.83,208.17,236.73
2006-08-25,235.36,677.32,206.73,236.39
2006-09-01,239.91,695.11,214.71,240.59
2006-09-08,239.96,699.68,214.30,240.30
2006-09-15,241.24,706.54,216.96,241.30
2006-09-22,238.92,697.44,214.69,239.23
2006-09-29,242.84,716.08,220.24,243.40
2006-10-06,239.04,702.57,218.38,239.89
2006-10-13,238.79,701.06,215.72,239.81
2006-10-20,241.31,713.06,219.28,242.45
2006-10-27,242.22,723.76,220.03,243.13
2006-11-03,244.34,747.11,225.02,244.89
2006-11-10,246.66,751.10,223.23,247.14
2006-11-17,250.00,763.25,224.35,250.09
2006-11-24,251.44,788.51,228.34,251.41
2006-12-01,253.58,795.62,232.29,253.29
2006-12-08,245.72,777.45,221.81,245.37
2006-12-15,251.44,789.34,227.17,251.29
2006-12-22,253.05,793.18,228.52,254.24
2006-12-29,252.88,789.76,229.77,253.44
2007-01-05,244.56,761.21,220.98,244.84
2007-01-12,245.21,766.90,221.18,245.19
2007-01-19,240.47,747.57,212.24,240.92
2007-01-26,242.20,756.25,214.05,242.76
2007-02-02,250.14,776.29,219.75,250.44
2007-02-09,252.39,784.74,222.50,252.52
2007-02-16,256.64,798.59,226.18,256.42
2007-02-23,260.37,808.21,232.03,260.00
2007-03-02,250.76,788.58,221.21,249.87
2007-03-09,252.89,792.41,223.21,251.36
2007-03-16,253.92,807.15,222.67,252.11
2007-03-23,257.49,821.46,228.60,255.49
2007-03-30,258.46,834.30,232.44,256.46
2007-04-06,263.85,850.69,242.83,261.97
2007-04-13,269.22,874.67,249.28,267.74
2007-04-20,270.73,897.25,251.46,269.64
2007-04-27,272.30,903.53,255.97,271.06
2007-05-04,276.96,939.21,261.74,275.54
2007-05-11,283.07,972.24,271.51,281.70
2007-05-18,283.77,983.01,269.60,282.56
2007-05-25,289.31,1014.13,280.10,287.82
2007-06-01,302.19,1065.90,297.85,299.03
2007-06-08,304.02,1072.99,296.56,300.48
2007-06-15,313.36,1111.91,305.54,307.05
2007-06-22,312.32,1092.30,311.02,307.52
2007-06-29,306.92,1084.85,304.43,302.54
2007-07-06,328.01,1148.48,334.22,323.34
2007-07-13,346.27,1207.19,347.36,342.02
2007-07-20,348.73,1234.88,350.82,343.75
2007-07-27,330.39,1206.36,329.44,325.82
2007-08-03,329.08,1214.31,333.06,323.87
2007-08-10,320.11,1172.65,323.68,315.35
2007-08-17,287.00,1031.06,287.67,285.13
2007-08-24,314.60,1141.92,316.58,310.57
2007-08-31,329.33,1206.60,331.50,325.74
2007-09-07,331.23,1208.83,330.27,326.62
2007-09-14,328.52,1196.99,326.06,323.36
2007-09-21,338.17,1207.38,340.25,332.81
2007-09-28,343.83,1226.17,341.40,337.94
2007-10-05,353.73,1259.49,354.01,346.73
2007-10-12,358.38,1251.26,364.43,351.76
2007-10-19,346.89,1229.14,354.62,339.51
2007-10-26,357.39,1248.07,363.73,349.49
2007-11-02,355.63,1240.94,358.08,348.24
2007-11-09,350.69,1222.10,352.58,344.78
2007-11-16,339.21,1194.53,335.67,333.74
2007-11-23,313.16,1105.84,301.75,308.33
2007-11-30,335.68,1174.27,334.87,330.70
2007-12-07,341.86,1177.72,340.30,338.18
2007-12-14,335.88,1175.37,328.64,330.14
2007-12-21,332.38,1189.51,320.14,327.55
2007-12-28,335.26,1187.53,333.81,329.83
2008-01-04,329.78,1164.35,329.95,322.31
2008-01-11,314.18,1104.73,317.53,306.78
2008-01-18,306.41,1091.44,296.01,300.57
2008-01-25,299.01,1062.08,287.16,294.00
2008-02-01,289.53,1050.01,265.68,285.82
2008-02-08,301.04,1065.13,282.17,296.53
2008-02-15,299.14,1050.15,287.16,294.44
2008-02-22,297.35,1034.24,287.66,292.18
2008-02-29,301.39,1043.70,294.87,296.45
2008-03-07,292.49,1008.10,285.52,287.86
2008-03-14,281.03,1001.86,266.92,277.01
2008-03-21,289.59,1012.71,274.14,286.66
2008-03-28,300.14,1041.07,284.09,296.95
2008-04-04,312.37,1071.55,293.20,310.25
2008-04-11,315.16,1084.45,292.91,312.78
2008-04-18,312.86,1108.96,289.69,310.66
2008-04-25,323.07,1131.06,297.60,320.66
2008-05-02,327.58,1157.67,295.82,325.60
2008-05-09,321.49,1148.24,287.37,319.86
2008-05-16,333.74,1188.06,293.66,332.93
2008-05-23,322.19,1150.95,286.32,320.08
2008-05-30,326.46,1150.70,288.02,324.62
2008-06-06,323.02,1141.89,285.90,320.93
2008-06-13,307.59,1117.17,269.76,304.57
2008-06-20,304.60,1113.62,265.39,301.53
2008-06-27,296.38,1090.95,255.42,293.36
2008-07-04,277.14,1026.90,234.29,275.79
2008-07-11,275.80,1020.05,235.71,273.57
2008-07-18,265.21,975.61,223.27,263.65
2008-07-25,280.58,1025.03,243.47,279.25
2008-08-01,276.31,1022.53,232.23,275.37
2008-08-08,274.91,1022.72,227.61,274.45
2008-08-15,275.96,1012.39,231.43,275.46
2008-08-22,262.23,970.81,214.88,262.53
2008-08-29,258.56,976.23,207.80,258.32
2008-09-05,246.42,927.87,193.80,246.74
2008-09-12,259.48,974.90,210.88,259.60
2008-09-19,256.28,933.72,207.80,257.43
2008-09-26,259.41,947.51,211.20,260.56
2008-10-03,249.11,929.68,199.25,249.76
2008-10-10,218.06,782.15,162.37,221.53
2008-10-17,206.60,744.97,156.54,209.24
2008-10-24,165.76,594.01,119.87,168.52
2008-10-31,197.01,662.56,143.05,201.64
2008-11-07,199.67,695.36,151.68,202.93
2008-11-14,191.40,656.49,146.37,194.48
2008-11-21,176.04,597.34,132.19,178.76
2008-11-28,189.06,643.76,140.34,192.29
2008-12-05,180.63,621.60,135.52,183.64
2008-12-12,193.71,655.66,149.72,197.38
2008-12-19,207.60,730.42,160.27,210.66
2008-12-26,196.55,680.80,151.14,199.33
2009-01-02,203.59,707.28,162.31,206.63
2009-01-09,207.90,745.06,168.21,210.76
2009-01-16,200.15,715.73,160.60,202.37
2009-01-23,192.11,683.40,155.86,193.78
2009-01-30,204.68,725.41,166.12,206.88
2009-02-06,213.86,748.15,174.41,217.22
2009-02-13,210.16,757.21,176.68,212.15
2009-02-20,188.14,666.61,154.53,189.08
2009-02-27,187.72,660.98,149.73,188.75
2009-03-06,187.12,641.85,149.57,188.42
2009-03-13,199.89,698.27,160.13,201.35
2009-03-20,207.51,748.19,170.45,208.59
2009-03-27,219.68,796.18,180.49,221.00
2009-04-03,227.47,860.05,189.96,228.45
2009-04-10,235.93,932.35,198.35,235.15
2009-04-17,234.76,924.14,199.57,234.22
2009-04-24,239.91,955.49,204.28,238.05
2009-05-01,242.30,960.75,205.59,240.60
2009-05-08,249.75,1015.30,216.55,247.49
2009-05-15,245.89,1008.28,212.61,243.06
2009-05-22,248.03,1011.90,217.53,244.72
2009-05-29,246.83,982.99,211.44,244.29
2009-06-05,246.01,1005.83,210.11,243.02
2009-06-12,252.19,1025.49,213.19,249.75
2009-06-19,244.20,998.22,204.89,241.46
2009-06-26,246.87,984.44,202.14,245.09
2009-07-03,251.58,1011.54,204.42,250.06
2009-07-10,253.22,1001.66,201.47,252.30
2009-07-17,255.80,1000.36,202.31,255.86
2009-07-24,266.55,1053.97,211.64,266.75
2009-07-31,276.60,1090.20,216.59,277.46
2009-08-07,279.63,1131.53,220.00,280.18
2009-08-14,282.28,1141.44,223.21,282.24
2009-08-21,280.76,1119.34,216.14,281.97
2009-08-28,285.72,1123.91,221.82,286.73
2009-09-04,285.68,1133.94,217.50,286.82
2009-09-11,293.44,1155.90,224.03,295.02
2009-09-18,302.02,1193.85,228.79,303.95
2009-09-25,300.44,1184.01,225.04,303.24
2009-10-02,292.47,1152.25,216.74,295.20
2009-10-09,292.59,1169.53,220.58,294.70
2009-10-16,292.03,1161.46,218.67,293.79
2009-10-23,291.56,1167.20,218.03,293.55
2009-10-30,280.81,1124.91,206.59,282.72
2009-11-06,280.14,1104.55,206.20,282.34
2009-11-13,280.49,1100.80,206.54,282.76
2009-11-20,289.15,1126.61,212.41,292.22
2009-11-27,271.61,1056.30,196.62,274.41
2009-12-04,290.25,1125.08,211.40,293.23
2009-12-11,295.96,1148.75,215.59,299.07
2009-12-18,294.14,1154.17,215.83,296.21
2009-12-25,300.16,1164.95,218.39,303.03
2010-01-01,300.35,1143.50,220.63,303.29
2010-01-08,302.44,1171.91,221.76,304.39
2010-01-15,303.52,1172.17,220.79,305.14
2010-01-22,299.74,1154.84,218.83,301.68
2010-01-29,285.01,1103.41,204.77,287.55
2010-02-05,277.88,1079.37,200.05,280.33
2010-02-12,282.66,1092.59,202.82,285.36
2010-02-19,282.44,1086.35,202.89,285.30
2010-02-26,282.25,1097.34,207.01,284.84
2010-03-05,289.56,1113.43,211.87,292.62
2010-03-12,293.93,1140.20,216.47,297.13
2010-03-19,298.23,1154.04,219.84,301.41
2010-03-26,300.62,1157.76,220.55,303.83
2010-04-02,305.67,1157.95,219.96,309.90
2010-04-09,305.86,1154.14,218.66,310.06
2010-04-16,306.98,1185.64,217.87,311.26
2010-04-23,307.29,1196.97,218.27,310.81
2010-04-30,308.19,1187.92,217.54,311.62
2010-05-07,291.41,1125.11,205.13,294.04
2010-05-14,300.35,1168.06,213.53,302.23
2010-05-21,283.13,1107.81,199.36,285.41
2010-05-28,287.48,1103.45,200.60,289.95
2010-06-04,295.24,1135.06,206.40,298.06
2010-06-11,297.11,1150.35,210.03,299.69
2010-06-18,303.39,1170.52,215.71,305.91
2010-06-25,305.74,1194.03,219.21,308.45
2010-07-02,294.81,1159.08,213.23,296.66
2010-07-09,304.36,1179.18,217.95,306.82
2010-07-16,307.05,1190.45,225.87,309.42
2010-07-23,310.23,1196.81,227.11,313.74
2010-07-30,310.04,1201.93,226.54,313.40
2010-08-06,313.48,1217.91,230.16,317.63
2010-08-13,306.76,1192.54,227.57,310.33
2010-08-20,311.95,1215.01,233.64,316.02
2010-08-27,304.16,1182.53,228.82,308.30
2010-09-03,312.44,1223.15,240.38,315.84
2010-09-10,316.12,1232.67,243.17,319.79
2010-09-17,320.69,1259.46,243.08,324.87
2010-09-24,323.56,1280.40,245.73,327.82
2010-10-01,328.58,1323.08,249.92,332.86
2010-10-08,332.20,1359.97,253.00,336.99
2010-10-15,333.30,1387.02,254.68,337.06
2010-10-22,332.76,1380.06,253.44,336.08
2010-10-29,329.86,1376.75,251.82,332.17
2010-11-05,340.08,1406.21,257.24,343.43
2010-11-12,335.01,1380.13,252.37,339.51
2010-11-19,341.51,1399.21,256.78,345.92
2010-11-26,335.15,1354.86,249.13,340.82
2010-12-03,345.21,1388.96,256.17,352.22
2010-12-10,350.71,1402.93,259.61,357.81
2010-12-17,357.77,1429.66,266.00,365.92
2010-12-24,358.15,1445.74,263.30,367.05
2010-12-31,362.25,1452.70,268.55,370.73
2011-01-07,369.62,1488.01,275.29,376.77
2011-01-14,373.79,1510.09,281.18,380.27
2011-01-21,366.12,1480.21,272.65,372.75
2011-01-28,373.15,1484.21,277.72,380.66
2011-02-04,366.82,1465.86,272.14,373.82
2011-02-11,350.27,1418.92,261.46,355.98
2011-02-18,357.10,1417.87,264.44,363.36
2011-02-25,348.38,1387.15,257.64,354.45
2011-03-04,357.01,1417.07,261.05,362.84
2011-03-11,346.45,1403.98,256.16,351.10
2011-03-18,351.14,1392.39,256.32,358.70
2011-03-25,363.67,1439.10,268.35,371.37
2011-04-01,376.11,1487.59,278.64,383.77
2011-04-08,376.72,1499.84,283.09,384.21
2011-04-15,379.63,1504.12,283.65,386.60
2011-04-22,389.53,1521.44,288.01,397.59
2011-04-29,388.43,1518.56,286.87,396.98
2011-05-06,379.77,1501.56,277.28,387.81
2011-05-13,374.85,1461.72,274.36,382.21
2011-05-20,372.47,1458.23,268.67,380.85
2011-05-27,371.27,1440.39,265.48,379.15
2011-06-03,372.57,1447.41,266.99,381.19
2011-06-10,360.32,1417.46,256.55,367.79
2011-06-17,356.92,1420.76,256.76,363.94
2011-06-24,367.88,1473.10,263.96,375.00
2011-07-01,374.26,1496.59,269.34,381.09
2011-07-08,383.84,1514.88,276.69,391.05
2011-07-15,377.06,1518.92,275.50,382.21
2011-07-22,382.35,1554.24,277.94,386.32
2011-07-29,375.76,1530.02,273.23,378.82
