Date,KOSPI_TR
2021-06-18,3876.02
2021-06-25,3917.42
2021-07-02,3897.45
2021-07-09,3821.66
2021-07-16,3891.7
2021-07-23,3866.08
2021-07-30,3805.26
2021-08-06,3886.28
2021-08-13,3768.58
2021-08-20,3637.73
2021-08-27,3724.96
2021-09-03,3804.84
2021-09-10,3715.33
2021-09-17,3732.87
2021-09-24,3714.72
2021-10-01,3592.76
2021-10-08,3517.94
2021-10-15,3587.89
2021-10-22,3577.31
2021-10-29,3535.39
2021-11-05,3534.01
2021-11-12,3533.97
2021-11-19,3536.64
2021-11-26,3495.48
2021-12-03,3533.38
2021-12-10,3583.27
2021-12-17,3592.19
2021-12-24,3585.89
2021-12-31,3582.31
2022-01-07,3554.94
2022-01-14,3515.27
2022-01-21,3409.84
2022-01-28,3204.18
2022-02-04,3308.75
2022-02-11,3305.68
2022-02-18,3301.87
2022-02-25,3220.35
2022-03-04,3264.48
2022-03-11,3201.73
2022-03-18,3257.42
2022-03-25,3289.43
2022-04-01,3313.12
2022-04-08,1
2022-04-15,1
2022-04-22,1
2022-04-29,1
2022-05-06,1
2022-05-13,1
2022-05-20,1
2022-05-27,1
2022-06-03,1
2022-06-10,1
2022-06-17,1
2022-06-24,1
2022-07-01,1
2022-07-08,1
2022-07-15,1
2022-07-22,1
2022-07-29,1
2022-08-05,1
2022-08-12,1
2022-08-19,1
2022-08-26,1
2022-09-02,1
2022-09-09,1
2022-09-16,1
2022-09-23,1
2022-09-30,1
2022-10-07,1
2022-10-14,1
2022-10-21,1
2022-10-28,1
2022-11-04,1
2022-11-11,1
2022-11-18,1
2022-11-25,1
2022-12-02,1
2022-12-09,1
2022-12-16,1
2022-12-23,1
2022-12-30,1
2023-01-06,1
2023-01-13,1
2023-01-20,1
2023-01-27,1
2023-02-03,1
2023-02-10,1
2023-02-17,1
2023-02-24,1
2023-03-03,1
2023-03-10,1
2023-03-17,1
2023-03-24,1
2023-03-31,1
2023-04-07,1
2023-04-14,1
2023-04-21,1
2023-04-28,1
2023-05-05,1
2023-05-12,1
2023-05-19,1
2023-05-26,1
2023-06-02,1
2023-06-09,1
2023-06-16,1
2023-06-23,1
2023-06-30,1
2023-07-07,1
2023-07-14,1
2023-07-21,1
2023-07-28,1
2023-08-04,1
2023-08-11,1
2023-08-18,1
2023-08-25,1
2023-09-01,1
2023-09-08,1
2023-09-15,1
2023-09-22,1
2023-09-29,1
2023-10-06,1
2023-10-13,1
2023-10-20,1
2023-10-27,1
2023-11-03,1
2023-11-10,1
2023-11-17,1
2023-11-24,1
2023-12-01,1
2023-12-08,1
2023-12-15,1
2023-12-22,1
2023-12-29,1
2024-01-05,1
2024-01-12,1
2024-01-19,1
2024-01-26,1
2024-02-02,1
2024-02-09,1
2024-02-16,1
2024-02-23,1
2024-03-01,1
2024-03-08,1
2024-03-15,1
2024-03-22,1
2024-03-29,1
2024-04-05,1
2024-04-12,1
2024-04-19,1
2024-04-26,1
2024-05-03,1
2024-05-10,1
2024-05-17,1
2024-05-24,1
2024-05-31,1
2024-06-07,1
2024-06-14,1
2024-06-21,1
2024-06-28,1
2024-07-05,1
2024-07-12,1
2024-07-19,1
2024-07-26,1
2024-08-02,1
2024-08-09,1
2024-08-16,1
2024-08-23,1
2024-08-30,1
2024-09-06,1
2024-09-13,1
2024-09-20,1
2024-09-27,1
2024-10-04,1
2024-10-11,1
2024-10-18,1
2024-10-25,1
2024-11-01,1
2024-11-08,1
2024-11-15,1
2024-11-22,1
2024-11-29,1
2024-12-06,1
2024-12-13,1
2024-12-20,1
2024-12-27,1
2025-01-03,1
2025-01-10,1
2025-01-17,1
2025-01-24,1
2025-01-31,1
2025-02-07,1
2025-02-14,1
2025-02-21,1
2025-02-28,1
2025-03-07,1
2025-03-14,1
2025-03-21,1
2025-03-28,1
2025-04-04,1
2025-04-11,1
2025-04-18,1
2025-04-25,1
2025-05-02,1
2025-05-09,1
2025-05-16,1
2025-05-23,1
2025-05-30,1
2025-06-06,1
2025-06-13,1
2025-06-20,1
2025-06-27,1
2025-07-04,1
2025-07-11,1
2025-07-18,1
2025-07-25,1
2025-08-01,1
2025-08-08,1
2025-08-15,1
2025-08-22,1
2025-08-29,1
2025-09-05,1
2025-09-12,1
2025-09-19,1
2025-09-26,1
2025-10-03,1
2025-10-10,1
2025-10-17,1
2025-10-24,1
2025-10-31,1
2025-11-07,1
2025-11-14,1
2025-11-21,1
2025-11-28,1
2025-12-05,1
2025-12-12,1
2025-12-19,1
2025-12-26,1
2026-01-02,1
2026-01-09,1
2026-01-16,1
2026-01-23,1
2026-01-30,1
2026-02-06,1
2026-02-13,1
2026-02-20,1
2026-02-27,1
2026-03-06,1
2026-03-13,1
2026-03-20,1
2026-03-27,1
2026-04-03,1
2026-04-10,1
2026-04-17,1
2026-04-24,1
2026-05-01,1
2026-05-08,1
2026-05-15,1
2026-05-22,1
2026-05-29,1
2026-06-05,1
2026-06-12,1
2026-06-19,1
2026-06-26,1
2026-07-03,1
2026-07-10,1
2026-07-17,1
2026-07-24,1
2026-07-31,1
2026-08-07,1
2026-08-14,1
2026-08-21,1
2026-08-28,1
2026-09-04,1
2026-09-11,1
2026-09-18,1
2026-09-25,1
2026-10-02,1
2026-10-09,1
2026-10-16,1
2026-10-23,1
2026-10-30,1
2026-11-06,1
2026-11-13,1
2026-11-20,1
2026-11-27,1
2026-12-04,1
2026-12-11,1
2026-12-18,1
2026-12-25,1
2027-01-01,1
2027-01-08,1
2027-01-15,1
2027-01-22,1
2027-01-29,1
2027-02-05,1
2027-02-12,1
2027-02-19,1
2027-02-26,1
2027-03-05,1
2027-03-12,1
2027-03-19,1
2027-03-26,1
